selection_mode,chunk_words,comparison,baseline,metric,baseline_estimate,comparison_estimate,difference,lower,upper,confidence,replicates,seed
matched_quality,1,stability-gate/full,fixed-threshold,selection_error_rate,0.4744426318651441,0.5852017937219731,0.11075916185682899,0.08296574795537529,0.1438184262075082,0.95,50,20260901
matched_quality,1,stability-gate/full,fixed-threshold,mean_commit_context_words,6.267225325884544,2.3819095477386933,-3.8853157781458507,-6.759271852961156,-1.9560019424029464,0.95,50,20260901
matched_quality,1,stability-gate/full,fixed-lag,selection_error_rate,0.3339000340020401,0.5852017937219731,0.251301759719933,0.21999540735118722,0.2859070979074317,0.95,50,20260901
matched_quality,1,stability-gate/full,fixed-lag,mean_commit_context_words,6.529468599033817,2.3819095477386933,-4.147559051295124,-5.927556121808508,-2.7829164165948495,0.95,50,20260901
matched_quality,1,stability-gate/full,rescore-patience,selection_error_rate,0.6200780418588152,0.5852017937219731,-0.03487624813684209,-0.0469268433803761,-0.020278908250498825,0.95,50,20260901
matched_quality,1,stability-gate/full,rescore-patience,mean_commit_context_words,2.322314049586777,2.3819095477386933,0.05959549815191645,-0.004636403433135072,0.10112834511930682,0.95,50,20260901
matched_latency,1,stability-gate/full,fixed-threshold,selection_error_rate,0.4744426318651441,0.5480083857442348,0.0735657538790907,0.0455750368180826,0.10398313002978153,0.95,50,20260901
matched_latency,1,stability-gate/full,fixed-threshold,mean_commit_context_words,6.267225325884544,2.569664902998236,-3.697560422886308,-6.603038504042999,-1.7510583067846297,0.95,50,20260901
matched_latency,1,stability-gate/full,fixed-lag,selection_error_rate,0.3339000340020401,0.5480083857442348,0.21410835174219472,0.18244300900531757,0.24280718671827867,0.95,50,20260901
matched_latency,1,stability-gate/full,fixed-lag,mean_commit_context_words,6.529468599033817,2.569664902998236,-3.9598036960355807,-5.673395310294645,-2.6257444900651032,0.95,50,20260901
matched_latency,1,stability-gate/full,rescore-patience,selection_error_rate,0.3339000340020401,0.5480083857442348,0.21410835174219472,0.18244300900531757,0.24280718671827867,0.95,50,20260901
matched_latency,1,stability-gate/full,rescore-patience,mean_commit_context_words,6.529468599033817,2.569664902998236,-3.9598036960355807,-5.673395310294645,-2.6257444900651032,0.95,50,20260901
