policy_id,policy_family,policy_variant,analysis_only,selection_mode,selection_key,split,chunk_words,aggregation,task,example_count,strict_precision,strict_recall,strict_f1,masking_f2,mean_commit_context_words,selection_error_rate,gold_premature_rate,wrong_commitment_rate,missed_entity_rate
ema:main:0ebca30f5a7d9e00,ema,main,False,matched_quality,ema,test,1,task,ai4privacy-en,300,0.7388392857142857,0.5347334410339257,0.6204311152764761,0.7072235673930589,0.5619335347432024,0.4386129334582943,0.140625,0.2611607142857143,0.46526655896607433
ema:main:0ebca30f5a7d9e00,ema,main,False,matched_quality,ema,test,1,task,gretel,300,0.6829268292682927,0.7156549520766773,0.6989079563182526,0.8147255557741492,0.7232142857142857,0.3244929797191888,0.04573170731707317,0.3170731707317073,0.28434504792332266
ema:main:0ebca30f5a7d9e00,ema,main,False,matched_quality,ema,test,1,task,nemotron-pii,300,0.8506493506493507,0.8136645962732919,0.8317460317460318,0.7765770294043729,0.4961832061068702,0.1873015873015873,0.03896103896103896,0.14935064935064934,0.18633540372670807
ema:main:0ebca30f5a7d9e00,ema,main,False,matched_quality,ema,test,1,task,privy,300,0.8743718592964824,0.6810176125244618,0.7656765676567656,0.7574098546346988,18.25287356321839,0.264026402640264,0.0678391959798995,0.12562814070351758,0.31898238747553814
ema:main:0ebca30f5a7d9e00,ema,main,False,matched_quality,ema,test,1,overall,__overall__,1200,0.7786144578313253,0.6446384039900249,0.7053206002728513,0.7563001469092554,6.542553191489362,0.332537517053206,0.08358433734939759,0.2213855421686747,0.3553615960099751
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_quality,fixed-lag,test,1,task,ai4privacy-en,300,0.7388392857142857,0.5347334410339257,0.6204311152764761,0.7072235673930589,0.5589123867069486,0.4386129334582943,0.140625,0.2611607142857143,0.46526655896607433
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_quality,fixed-lag,test,1,task,gretel,300,0.6787878787878788,0.7156549520766773,0.6967340590979783,0.8163766833775681,0.71875,0.3265940902021773,0.045454545454545456,0.3212121212121212,0.28434504792332266
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_quality,fixed-lag,test,1,task,nemotron-pii,300,0.825,0.8198757763975155,0.822429906542056,0.7775738361421659,0.45454545454545453,0.19626168224299065,0.0375,0.175,0.18012422360248448
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_quality,fixed-lag,test,1,task,privy,300,0.8721804511278195,0.6810176125244618,0.7648351648351648,0.7588510606174982,18.25287356321839,0.26483516483516484,0.06766917293233082,0.12781954887218044,0.31898238747553814
fixed-lag:main:46a9ede943b6213c,fixed-lag,main,False,matched_quality,fixed-lag,test,1,overall,__overall__,1200,0.7741211667913238,0.6452618453865336,0.703842230533832,0.7572660960682912,6.529468599033817,0.3339000340020401,0.08302169035153328,0.22587883320867613,0.35473815461346636
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_quality,fixed-threshold,test,1,task,ai4privacy-en,300,0.518918918918919,0.6203554119547657,0.565121412803532,0.8721133938525244,0.4375,0.5084621044885945,0.13513513513513514,0.4810810810810811,0.37964458804523427
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_quality,fixed-threshold,test,1,task,gretel,300,0.468682505399568,0.6932907348242812,0.5592783505154639,0.8464426595694123,0.7465437788018433,0.47164948453608246,0.05183585313174946,0.531317494600432,0.30670926517571884
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_quality,fixed-threshold,test,1,task,nemotron-pii,300,0.45185185185185184,0.7577639751552795,0.5661252900232018,0.7415553809897881,0.4344262295081967,0.48491879350348027,0.08148148148148149,0.5481481481481482,0.2422360248447205
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_quality,fixed-threshold,test,1,task,privy,300,0.5840266222961731,0.6868884540117417,0.631294964028777,0.748031496062992,18.085470085470085,0.4307553956834532,0.11480865224625623,0.415973377703827,0.3131115459882583
fixed-threshold:main:162060298ea31472,fixed-threshold,main,False,matched_quality,fixed-threshold,test,1,overall,__overall__,1200,0.5178399228543876,0.669576059850374,0.5840130505709625,0.8116598717435736,6.267225325884544,0.4744426318651441,0.10366441658630665,0.4821600771456123,0.33042394014962595
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_quality,oracle-stable,test,1,task,ai4privacy-en,300,0.5977175463623395,0.6768982229402262,0.6348484848484849,0.9282740348221045,0.5011933174224343,0.41818181818181815,0.09985734664764621,0.40228245363766046,0.32310177705977383
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_quality,oracle-stable,test,1,task,gretel,300,0.5362997658079626,0.731629392971246,0.6189189189189189,0.8897379912663755,0.7292576419213974,0.4081081081081081,0.0468384074941452,0.4637002341920375,0.268370607028754
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_quality,oracle-stable,test,1,task,nemotron-pii,300,0.5411764705882353,0.8571428571428571,0.6634615384615384,0.8176443130543021,0.43478260869565216,0.3557692307692308,0.03137254901960784,0.4588235294117647,0.14285714285714285
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_quality,oracle-stable,test,1,task,privy,300,0.6931407942238267,0.7514677103718199,0.7211267605633801,0.840068133222194,16.903645833333332,0.3145539906103286,0.06859205776173286,0.30685920577617326,0.24853228962818003
oracle-stable:analysis-only:6c1cbd5405bdb220,oracle-stable,analysis-only,True,matched_quality,oracle-stable,test,1,overall,__overall__,1200,0.6040268456375839,0.729426433915212,0.6608302739339169,0.8782007959750694,5.921367521367522,0.3775769556622423,0.07021166752710377,0.3959731543624161,0.27057356608478805
rescore-patience:main:78c31076da9358de,rescore-patience,main,False,matched_quality,rescore-patience,test,1,task,ai4privacy-en,300,0.5220458553791887,0.4781906300484653,0.4991568296795953,0.7134308510638299,1.5912162162162162,0.5666104553119731,0.13756613756613756,0.47795414462081126,0.5218093699515347
rescore-patience:main:78c31076da9358de,rescore-patience,main,False,matched_quality,rescore-patience,test,1,task,gretel,300,0.4568345323741007,0.4057507987220447,0.42978003384094754,0.5668604651162791,2.0,0.61082910321489,0.08633093525179857,0.5431654676258992,0.5942492012779552
rescore-patience:main:78c31076da9358de,rescore-patience,main,False,matched_quality,rescore-patience,test,1,task,nemotron-pii,300,0.40828402366863903,0.42857142857142855,0.41818181818181815,0.38504997827031723,1.565217391304348,0.6060606060606061,0.047337278106508875,0.591715976331361,0.5714285714285714
rescore-patience:main:78c31076da9358de,rescore-patience,main,False,matched_quality,rescore-patience,test,1,task,privy,300,0.5621890547263682,0.22113502935420742,0.31741573033707865,0.28769511790102953,5.061946902654867,0.723314606741573,0.14427860696517414,0.43781094527363185,0.7788649706457925
rescore-patience:main:78c31076da9358de,rescore-patience,main,False,matched_quality,rescore-patience,test,1,overall,__overall__,1200,0.49794238683127573,0.37718204488778057,0.42923022348350476,0.5149699188810529,2.322314049586777,0.6200780418588152,0.11440329218106995,0.5020576131687243,0.6228179551122195
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_quality,snapshot-patience,test,1,task,ai4privacy-en,300,0.7388392857142857,0.5347334410339257,0.6204311152764761,0.7072235673930589,0.5589123867069486,0.4386129334582943,0.140625,0.2611607142857143,0.46526655896607433
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_quality,snapshot-patience,test,1,task,gretel,300,0.6787878787878788,0.7156549520766773,0.6967340590979783,0.8163766833775681,0.71875,0.3265940902021773,0.045454545454545456,0.3212121212121212,0.28434504792332266
snapshot-patience:main:f6a5b64c42ef6674,snapshot-patience,main,False,matched_quality,snapshot-patience,test,1,task,nemotron-pii,300,0.825,0.8198757763975155,0.822429906542056,0.7775738361421659,0.45454545454545453,0.19626168224299065,0.0375,0.175,0.18012422360248448
